track_id,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
0P7DoyGrr4Wp9w5TotEtUC,rock,0.63,0.552,9,-9.28,1,0.0545,0.373,5.78e-05,0.103,0.518,143.868,audio_features,spotify:track:0P7DoyGrr4Wp9w5TotEtUC,https://api.spotify.com/v1/tracks/0P7DoyGrr4Wp9w5TotEtUC,https://api.spotify.com/v1/audio-analysis/0P7DoyGrr4Wp9w5TotEtUC,274493,4
05NYcsjJwOYq4jIiKPVj9p,rock,0.599,0.79,4,-3.58,1,0.043,0.00257,0.00181,0.312,0.961,103.783,audio_features,spotify:track:05NYcsjJwOYq4jIiKPVj9p,https://api.spotify.com/v1/tracks/05NYcsjJwOYq4jIiKPVj9p,https://api.spotify.com/v1/audio-analysis/05NYcsjJwOYq4jIiKPVj9p,188067,4
1HL3yEnYq8LEyFQ3QegA5V,rock,0.541,0.677,4,-10.764,1,0.0373,0.122,0.0191,0.0938,0.555,101.1,audio_features,spotify:track:1HL3yEnYq8LEyFQ3QegA5V,https://api.spotify.com/v1/tracks/1HL3yEnYq8LEyFQ3QegA5V,https://api.spotify.com/v1/audio-analysis/1HL3yEnYq8LEyFQ3QegA5V,316467,4
500Tkm3vJmVtdUwdCVxCTb,rock,0.628,0.867,7,-7.307,1,0.0604,0.0865,0.0,0.126,0.877,151.695,audio_features,spotify:track:500Tkm3vJmVtdUwdCVxCTb,https://api.spotify.com/v1/tracks/500Tkm3vJmVtdUwdCVxCTb,https://api.spotify.com/v1/audio-analysis/500Tkm3vJmVtdUwdCVxCTb,279800,4
6XK6Zw6JkFsHXzAcMWNiIr,rock,0.5,0.704,0,-8.797,1,0.0695,0.125,1.79e-05,0.138,0.722,119.463,audio_features,spotify:track:6XK6Zw6JkFsHXzAcMWNiIr,https://api.spotify.com/v1/tracks/6XK6Zw6JkFsHXzAcMWNiIr,https://api.spotify.com/v1/audio-analysis/6XK6Zw6JkFsHXzAcMWNiIr,263360,4
14WYmNQWvR2TTWoRp8t9Ml,rock,0.559,0.889,5,-6.284,0,0.0669,0.000269,0.00118,0.083,0.666,140.047,audio_features,spotify:track:14WYmNQWvR2TTWoRp8t9Ml,https://api.spotify.com/v1/tracks/14WYmNQWvR2TTWoRp8t9Ml,https://api.spotify.com/v1/audio-analysis/14WYmNQWvR2TTWoRp8t9Ml,216429,4
5NK8jad728pj6YeqM5VJD4,rock,0.584,0.521,4,-5.782,1,0.0295,0.06,7.56e-05,0.22,0.317,160.058,audio_features,spotify:track:5NK8jad728pj6YeqM5VJD4,https://api.spotify.com/v1/tracks/5NK8jad728pj6YeqM5VJD4,https://api.spotify.com/v1/audio-analysis/5NK8jad728pj6YeqM5VJD4,329400,4
7y4CK8bbzxpyKu73WOvgHJ,rock,0.305,0.824,1,-8.33,1,0.0354,0.51,0.00292,0.272,0.921,179.404,audio_features,spotify:track:7y4CK8bbzxpyKu73WOvgHJ,https://api.spotify.com/v1/tracks/7y4CK8bbzxpyKu73WOvgHJ,https://api.spotify.com/v1/audio-analysis/7y4CK8bbzxpyKu73WOvgHJ,288160,4
27IRo2rYeizhRMDaNVplNM,rock,0.562,0.742,9,-6.355,1,0.0345,0.0368,1.37e-06,0.102,0.799,165.6,audio_features,spotify:track:27IRo2rYeizhRMDaNVplNM,https://api.spotify.com/v1/tracks/27IRo2rYeizhRMDaNVplNM,https://api.spotify.com/v1/audio-analysis/27IRo2rYeizhRMDaNVplNM,289200,4
3gsCAGsWr6pUm1Vy7CPPob,rock,0.476,0.381,5,-10.238,0,0.0342,0.727,0.0,0.0614,0.33,121.948,audio_features,spotify:track:3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/tracks/3gsCAGsWr6pUm1Vy7CPPob,https://api.spotify.com/v1/audio-analysis/3gsCAGsWr6pUm1Vy7CPPob,286920,4
